#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-11-26T00:11:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5bfb3a191f9bc	
#INFO	-out.max=9999	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/ApJ/801/3&tab:{J/ApJ/801/3/table1}&key:source=J/ApJ/801/3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/801/3/table1
#-order=I
#-out=KOI
#-out=KIC
#-out=Teff
#-out=log(g)
#-out=Prot
#-out=e_Prot
#-out=Rvar
#-out=LPH
#-out=w
#-out=D
#-out=N
#-out=C
#-out=G
#-out=T
#-out=F
#-out=R
#-out=M1
#-out=M2
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#
#
#RESOURCE=yCat_18010003
#Name: J/ApJ/801/3
#Title: Rotation periods for Q3-Q14 KOIs (Mazeh+, 2015)
#Table	J_ApJ_801_3_table1:
#Name: J/ApJ/801/3/table1
#Title: Stellar rotational periods for the KOIs
#Column	KOI	(I4)	[1/6249] Kepler Object of Interest identifier	[ucd=meta.id;meta.main]
#Column	KIC	(I8)	Kepler Input Catalog identifier (V/133)	[ucd=meta.id]
#Column	Teff	(I5)	[3089/10949]? KIC effective temperature (1) [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	log(g)	(F6.3)	[0.03/6.1]? KIC log surface gravity (1)	[ucd=phys.gravity]
#Column	Prot	(F6.2)	[0.08/154]? Rotational period	[ucd=time.period]
#Column	e_Prot	(F5.2)	[0/73]? The 1{sigma} uncertainty in Prot	[ucd=stat.error]
#Column	Rvar	(I5)	[-9999/96819]? Amplitude of modulation (-9999 if no reliable amplitude) [NULL integer written as an empty string]	[ucd=src.var.amplitude]
#Column	LPH	(F9.6)	[0.01/1.8]? The Local Peak Height value of the autocorrelation function (ACF)	[ucd=stat.fit.param]
#Column	w	(F9.6)	[0/1]? Assigned weight (the w value); see text	[ucd=stat.weight]
#Column	D	(I1)	[0/1] "1" if Dressing & Charbonneau 2013 (J/ApJ/767/95) parameters used (1)	[ucd=meta.code]
#Column	N	(I1)	[0/1] "1" if KIC values missing, so NASA Exoplanet Archive (NEA) parameters used (1)	[ucd=meta.code]
#Column	C	(I1)	[0/1] "1" if Centroid motion shows transit and rotational modulation on different stars	[ucd=meta.code]
#Column	G	(I1)	[0/1] "1" if star is likely a giant	[ucd=meta.code]
#Column	T	(I1)	[0/1] "1" if T_eff_ outside 3500-6500K	[ucd=meta.code]
#Column	F	(I1)	[0/1] "1" if false positive (EB) identified in this work	[ucd=meta.code]
#Column	R	(I1)	[0/1] "1" if rejected by visual examination stage	[ucd=meta.code]
#Column	M1	(I1)	[0/1] "1" if inconsistent detection in different quarters	[ucd=meta.code]
#Column	M2	(I1)	[0/1] "1" if inconsistent detection with not high enough peaks	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Position from KIC catalog (V/133) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from KIC catalog (V/133) (declination part)	[ucd=pos.eq.dec;meta.main]
KOI|KIC|Teff|log(g)|Prot|e_Prot|Rvar|LPH|w|D|N|C|G|T|F|R|M1|M2|Simbad|_RA|_DE
2378|10813132| 5430| 4.426| 23.74| 0.71| 4787| 0.748173| 0.473318|0|0|0|0|0|0|0|0|0|Simbad|297.46362|+48.18141
2379| 9718379| 5975| 4.406| 74.07|11.28| 1349| 0.132020| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.06583|+46.46639
2380| 3002478| 5699| 4.561| 35.84| 3.83| 1327| 0.180429| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.18561|+38.10867
2383| 9395024| 5796| 4.545| 30.74| 9.98| 1444| 0.129929| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|287.40533|+45.91801
2386| 4172013| 5597| 4.935|  8.01| 0.11| 3276| 0.624698| 0.381687|0|0|0|0|0|0|0|0|0|Simbad|294.94009|+39.23257
2387|12254378| 5877| 4.532| 40.50| 2.53| 2495| 0.106778| 0.012445|0|0|0|0|0|0|0|0|1|Simbad|289.18668|+50.93756
2389| 8494617| 6036| 4.322| 61.60| 1.77|  617| 0.167071| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|291.57898|+44.53171
2390|10289119| 5775| 4.288| 29.36| 0.85|  803| 0.759673| 0.413923|0|0|0|0|0|0|0|0|0|Simbad|297.21579|+47.37852
2392| 7382313| 5524| 4.419| 15.39| 0.04| 9031| 0.985402| 0.617011|0|0|0|0|0|0|0|0|0|Simbad|297.07037|+42.97774
2393| 4665571| 4730| 4.615| 40.54| 7.54| 4918| 0.310738| 0.166596|0|0|0|0|0|0|0|0|1|Simbad|294.66470|+39.78383
2396|12115188| 5331| 4.463| 29.41| 0.37| 5118| 0.616521| 0.379705|0|0|0|0|0|0|0|0|0|Simbad|293.97278|+50.64514
2397| 9269042| 5053| 4.599| 23.47| 0.41| 5691| 0.965486| 0.572748|0|0|0|0|0|0|0|0|0|Simbad|285.82233|+45.71189
2398| 6199056| 6257| 4.175|  2.67| 0.00|  521| 0.159938| 0.093146|0|0|0|0|0|0|0|0|1|Simbad|289.93927|+41.50266
2399|11461433| 5011| 4.844| 28.03| 1.12| 2784| 0.496227| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.88965|+49.37977
2400| 7984574| 5628| 4.673| 18.45| 0.20| 3960| 0.372288| 0.269397|0|0|0|0|0|0|0|0|0|Simbad|299.06168|+43.72033
2401|10336951| 4422| 4.657| 26.58| 0.13| 5668| 1.068402| 0.591923|0|0|0|0|0|0|0|0|0|Simbad|290.83627|+47.44494
2402| 8481129| 4708| 4.557| 45.32| 7.36| 4368| 0.495447| 0.252289|0|0|0|0|0|0|0|0|0|Simbad|285.29575|+44.55275
2403| 2142522| 6046| 4.408| 10.35| 0.13| 1153| 0.338446| 0.266553|0|0|0|0|0|0|0|0|0|Simbad|286.62576|+37.53730
2404| 6364215| 5572| 4.517| 47.65| 0.87| 1881| 0.148583| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|291.87799|+41.76958
2406| 5007345| 6146| 4.604| 61.51| 2.05|  960| 0.106527| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|290.63330|+40.13699
2407|12120484| 5953| 4.539| 14.15| 0.70| 1058| 0.162609| 0.128448|0|0|0|0|0|0|0|0|1|Simbad|296.37692|+50.62147
2408| 6429812| 5578| 4.452| 34.39| 8.21|  893| 0.027781| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|287.06638|+41.87491
2409|10024051| 5062| 4.616| 21.83|14.17| 1080| 0.035705| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|296.55307|+46.96629
2410| 8676038| 5801| 4.710| 13.17| 2.94| 1387| 0.087240| 0.066902|0|0|0|0|0|0|0|0|1|Simbad|285.74298|+44.85783
2411| 8073806| 5670| 4.436|  7.40| 2.61| 2303| 0.051618| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|280.31488|+43.98571
2413| 3234598| 4534| 4.531| 29.79| 0.34| 3270| 0.476917| 0.313848|0|0|0|0|0|0|0|0|0|Simbad|291.34259|+38.36313
2414| 8611832| 5587| 4.508| 48.22|17.88|  578| 0.113365| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|286.02612|+44.78287
2415| 5621586| 5874| 4.563| 31.73| 5.54| 2054| 0.101714| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|292.31512|+40.83882
2416| 9210387| 5705| 4.547| 53.20| 7.48| 1726| 0.125337| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|288.20764|+45.68348
2417| 9654468| 4300| 4.553| 21.25| 0.35|20552| 1.117697| 0.652890|0|1|0|0|0|0|0|0|0|Simbad|294.00543|+46.31069
2418|10027247| 3726| 4.836| 17.65| 0.00| 6610| 1.334043| 0.725314|1|0|0|0|0|0|0|0|0|Simbad|297.48669|+46.99671
2419| 6343170| 5917| 4.370|  4.96| 0.18| 2055| 0.042157| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|283.26450|+41.71145
2420| 7107802| 5615| 4.596| 78.62|14.56| 1191| 0.378081| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|288.58835|+42.60566
2421| 8838950| 4586| 4.670| 56.27| 4.78| 2203| 0.254208| 0.044943|0|0|0|0|0|0|0|0|1|Simbad|298.41931|+45.07144
2422|11360805| 5295| 4.415| 33.72| 1.32| 2371| 0.293199| 0.163876|0|0|0|0|0|0|0|0|1|Simbad|296.55005|+49.10232
2423| 9845898| 6236| 4.465|  0.28| 0.00| 1138| 0.165009| 0.082287|0|0|0|0|0|0|0|0|1|Simbad|297.37509|+46.66221
2424|12453581| 4899| 4.644| 45.15| 6.37| 3867| 0.177624| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|287.52203|+51.37586
2426| 8081899| 5307| 4.887| 59.59|14.43|  724| 0.245230| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|284.90302|+43.95396
2430| 3533469| 5287| 4.404| 44.79| 2.99| 2748| 0.259933| 0.072102|0|0|0|0|0|0|0|0|1|Simbad|288.10608|+38.65906
2432| 7047363| 5228| 4.748| 27.35| 0.17| 9304| 0.957875| 0.525183|0|0|0|0|0|0|0|0|0|Simbad|295.62469|+42.54590
2433|11968463| 6084| 4.443| 25.11| 1.70| 1693| 0.062683| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.33847|+50.33654
2436| 8570333| 5237| 4.583| 16.22| 2.87| 2870| 0.112557| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.62927|+44.69062
2437| 5036705| 6066| 4.424| 16.17| 0.25| 1621| 0.035166| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|297.90579|+40.16286
2439| 6867555| 6096| 4.517| 49.73| 4.02| 1753| 0.096189| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|293.12738|+42.32010
2440| 5339567| 5453| 4.422| 28.49|18.77|  938| 0.111029| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|282.99973|+40.55745
2442|11080405| 5029| 4.563| 39.04| 4.90| 2244| 0.281281| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|289.85889|+48.69385
2443| 9209624| 6074| 4.412| 70.49|39.09|  775| 0.102614| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|287.79819|+45.65671
2444| 3354846| 5319| 4.563| 19.22| 0.01|19341| 1.272563| 0.646160|0|0|0|0|0|0|0|0|0|Simbad|294.57623|+38.45697
2445| 6516185| 5484| 4.488|  9.44| 0.29| 2183| 0.024231| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|289.88446|+41.90655
2448| 5857540| 4862| 4.389| 29.25| 1.67| 4699| 0.596325| 0.426966|0|0|0|0|0|0|0|0|0|Simbad|284.60620|+41.19638
2449|12208631| 5643| 4.559| 27.35| 0.85| 3896| 0.191941| 0.101511|0|0|0|0|0|0|0|0|1|Simbad|291.55051|+50.82561
2450| 7289317| 5564| 4.484| 27.29| 8.28| 1538| 0.116462| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.00946|+42.88077
2451| 6500206| 5208| 4.418| 35.88| 7.95| 2560| 0.394034| 0.217628|0|0|0|0|0|0|0|0|1|Simbad|283.17880|+41.98992
2453| 8631751| 3605| 4.815| 62.50| 0.80| 6866| 0.813514| 0.398541|1|0|0|0|0|0|0|0|0|Simbad|294.46848|+44.75396
2457| 9753154| 6514| 4.158|      |     |     |         |         |0|0|0|0|1|0|0|0|0|Simbad|282.30121|+46.51620
2458| 7604328| 5247| 4.383| 25.68| 0.58| 5773| 0.855733| 0.507058|0|0|0|0|0|0|0|0|0|Simbad|290.74432|+43.26078
2460|11236244| 4413| 4.561| 38.82| 3.29| 2050| 0.176013| 0.107952|0|0|0|0|0|0|0|0|1|Simbad|287.65741|+48.98216
2461| 9837685| 5345| 4.616| 62.87|14.24| 3170| 0.162431| 0.004158|0|0|0|0|0|0|0|0|1|Simbad|294.53354|+46.61827
2462| 5042210| 5760| 4.159| 51.38|33.11|  609| 0.576486| 0.268122|0|0|0|0|0|0|1|0|0|Simbad|298.99170|+40.14242
2463|12454461| 5915| 4.557| 78.76|28.58|  671| 0.143303| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|288.05930|+51.35445
2466| 8544992| 4359| 4.608| 32.43| 0.84| 2151| 0.469568| 0.317518|0|0|0|0|0|0|0|0|0|Simbad|284.82803|+44.60873
2467|11818607| 5679| 4.596| 64.86| 4.17| 2868| 0.214656| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.22446|+50.07559
2468| 8380709| 5842| 4.662| 10.76| 0.30| 1559| 0.063344| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|296.89484|+44.37178
2469| 6149910| 4727| 4.418| 36.61| 0.83| 4068| 0.527110| 0.324358|0|0|0|0|0|0|0|0|0|Simbad|298.59482|+41.43594
2470| 9108085| 5504| 4.645| 64.38| 6.63|  767| 0.187110| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|297.78647|+45.41748
2471| 5436013| 5306| 4.439| 40.11| 5.09|  997| 0.106595| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|287.70688|+40.68524
2472| 9395719| 5856| 4.618| 19.74| 0.40| 1892| 0.065171| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|287.79385|+45.98024
2473| 8753896| 5174| 4.565| 27.56| 0.22| 5959| 0.811996| 0.481278|0|0|0|0|0|0|0|0|0|Simbad|291.95999|+44.90002
2474| 8240617| 5284| 4.597| 25.53| 0.31| 2045| 0.633630| 0.430729|0|0|0|0|0|0|0|0|0|Simbad|294.39749|+44.12420
2477| 6846911| 5679| 4.362| 27.97| 4.44| 1065| 0.156013| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|286.25165|+42.37848
2479| 5963582| 5289| 3.964| 58.01| 6.21|  788| 0.226196| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|292.88528|+41.27924
2480| 8189801| 3986| 4.711| 32.15| 0.07| 9102| 0.988232| 0.551331|1|0|0|0|0|0|0|0|0|Simbad|298.92639|+44.00219
2481| 4476423| 4760| 3.034|      |     |     |         |         |0|0|0|1|0|0|0|0|0|Simbad|294.78235|+39.59652
2482|11403389| 5550| 4.655| 25.27| 0.89| 4773| 0.673187| 0.415174|0|0|0|0|0|0|0|0|0|Simbad|292.11517|+49.25643
2483| 9851662| 5292| 4.406| 13.24| 1.94| 1339| 0.039852| 0.018742|0|0|0|0|0|0|0|0|1|Simbad|298.95032|+46.69280
2484|10453588| 5739| 4.356|107.47| 0.82|  391| 0.148417| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|283.88510|+47.63722
2485|11125613| 4966| 4.575| 23.25| 0.06| 7199| 0.982227| 0.587362|0|0|0|0|0|0|0|0|0|Simbad|285.17334|+48.77004
2486| 8074328| 6178| 4.357|  0.22| 0.02|  420| 0.228892| 0.000000|0|1|0|0|0|0|0|1|0|Simbad|280.69046|+43.91918
2487| 7212184| 5897| 4.492| 40.74|13.76| 1450| 0.050754| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.23926|+42.72648
2488| 8559152| 6198| 4.310| 15.22| 0.98|  540| 0.054528| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|291.47430|+44.68351
2489| 2718778| 5558| 4.828| 32.48| 0.94| 2975| 0.038754| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|292.69040|+37.93457
2490| 3122913| 4794| 4.874| 22.91| 0.09|14746| 1.006610| 0.609850|0|0|0|0|0|0|0|0|0|Simbad|292.90161|+38.29708
2491| 9229657| 5542| 4.899| 32.27| 2.15| 2008| 0.091702| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|296.07568|+45.62706
2492|11752632| 5818| 4.618| 50.56|39.56|  830| 0.133722| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|285.40494|+49.99474
2493|10028535| 4994| 4.696| 23.28| 0.04|21953| 1.265073| 0.628900|0|0|0|0|0|0|0|0|0|Simbad|297.84149|+46.96768
2494| 7047207| 5670| 4.459| 18.03| 0.29| 1172| 0.098350| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.59125|+42.55524
2497|11179076| 4964| 4.570| 34.04| 1.69| 4853| 0.558961| 0.343965|0|0|0|0|0|0|0|0|0|Simbad|285.23245|+48.80672
2498| 5959719| 5094| 4.620| 65.57| 4.95|  742| 0.436524| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|291.62878|+41.20860
2503| 8631504| 4802| 4.043| 77.02|30.01| 1043| 0.211816| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|294.39105|+44.76296
2504| 8110767| 5470| 4.586| 19.81| 0.28|11501| 1.255800| 0.634364|0|0|0|0|0|0|0|0|0|Simbad|296.18829|+43.93685
2506| 6767840| 5884| 4.412| 33.15| 1.24| 1796| 0.153736| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|288.77182|+42.21322
2507| 8379705| 5881| 4.603| 10.79| 0.32| 3176| 0.420494| 0.291369|0|0|0|0|0|0|0|0|0|Simbad|296.60141|+44.32526
2508| 8836888| 5317| 4.673| 20.41| 2.39| 2085| 0.107958| 0.046730|0|0|0|0|0|0|0|0|1|Simbad|297.90738|+45.03231
2509| 9880190| 5107| 4.587| 24.47| 4.70| 1448| 0.214504| 0.091434|0|0|0|0|0|0|0|0|1|Simbad|286.48364|+46.75262
2512| 9574158| 5421| 4.617| 26.59| 0.10| 3900| 0.675808| 0.420615|0|0|0|0|0|0|0|0|0|Simbad|284.71988|+46.25079
2513| 9653622| 6128| 4.430| 13.28| 1.55| 1113| 0.034138| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|293.66885|+46.37925
2516| 7294743| 5290| 3.972| 47.02|19.19|  501| 0.075075| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.45367|+42.85880
2517| 8947520| 5612| 4.443| 20.14| 0.61| 5240| 0.705368| 0.466645|0|0|0|0|0|0|0|0|0|Simbad|289.88437|+45.21150
2519| 4047631| 4265| 4.748| 26.91| 0.28| 6532| 1.088184| 0.598243|0|0|0|0|0|0|0|0|0|Simbad|288.90390|+39.15421
2520|10059645| 4594| 4.532| 29.78| 0.20| 3709| 0.435596| 0.284361|0|0|0|0|0|0|0|0|0|Simbad|284.58578|+47.07953
2521| 7183745| 5085| 4.717| 50.14| 9.76| 2629| 0.226857| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|285.86929|+42.72809
2522| 9177629| 4777| 4.145| 37.90| 0.83| 4164| 0.630975| 0.361168|0|0|0|0|0|0|0|0|0|Simbad|299.38159|+45.59224
2523| 7778767| 5363| 4.587| 17.85| 5.12| 3038| 0.022646| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|299.16953|+43.44109
2524| 7515762| 6104| 4.432| 84.69| 3.44| 1433| 0.235777| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|287.83847|+43.15323
2525| 5942949| 4646| 4.529| 23.70| 0.08| 8584| 0.933123| 0.591834|0|0|0|0|0|0|0|0|0|Simbad|285.29193|+41.25569
2527| 7879433| 4225| 4.512| 77.95| 9.79| 4394| 0.301550| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|287.14270|+43.61605
2528| 9205907| 5725| 4.623| 46.11|27.12| 1738| 0.059596| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|285.67377|+45.63986
2529| 8463346| 4262| 4.723| 16.00| 0.04| 9378| 1.037988| 0.585160|0|0|0|0|0|0|0|0|0|Simbad|301.72076|+44.41206
2530| 9011825| 5850| 4.375| 21.72| 0.48|  797| 0.123241| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|287.80557|+45.34055
2531| 4172746| 4646| 4.587| 39.53| 1.26| 6136| 0.681382| 0.379830|0|0|0|0|0|0|0|0|0|Simbad|295.10391|+39.26875
2532| 5174858| 5058| 4.590| 27.66| 0.21| 9742| 0.850721| 0.501659|0|0|0|0|0|0|0|0|0|Simbad|288.02969|+40.34415
2533|11074835| 5013| 3.608|      |     |     |         |         |0|0|0|1|0|0|0|0|0|Simbad|286.71564|+48.64528
2534| 1996180| 5929| 4.457| 74.82|24.22| 1521| 0.501660| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|286.34430|+37.41197
2535| 9635606| 4758| 4.218| 11.13| 0.03| 5726| 1.189027| 0.629059|0|0|0|0|0|0|0|0|0|Simbad|284.74792|+46.37362
2536| 3728701| 5736| 4.348| 71.36|31.07| 1160| 0.320670| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|285.21985|+38.80588
2538| 1849702| 4960| 4.752| 69.69| 3.14| 1847| 0.138502| 0.002799|0|0|0|0|0|0|0|0|1|Simbad|286.28595|+37.38706
2541|12306058| 5061| 3.737|      |     |     |         |         |0|0|0|1|0|0|0|0|0|Simbad|290.62183|+51.05730
2542| 6183511| 3340| 4.985|      |     |     |         |         |1|0|0|0|1|0|0|0|0|Simbad|283.40195|+41.51633
2543|12469800| 4870| 4.579| 23.54| 0.09| 8480| 0.845005| 0.546446|0|0|0|0|0|0|0|0|0|Simbad|295.90921|+51.34794
2544| 8676148| 5559| 4.563| 17.38| 0.04|10541| 0.991915| 0.590493|0|0|0|0|0|0|0|0|0|Simbad|285.80322|+44.87343
2545| 9696358| 6011| 4.286| 17.12| 0.47|  458| 0.387840| 0.259105|0|0|0|0|0|0|0|0|0|Simbad|284.59372|+46.44978
2547| 4484336| 5809| 4.373| 82.53|14.20| 1219| 0.217936| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|296.45575|+39.59859
2548| 9580167| 4696| 4.638| 65.68| 0.96|10516| 0.180231| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|288.18198|+46.24618
2550|11622985| 5707| 4.601| 50.14| 1.94| 2333| 0.087916| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|297.24017|+49.61686
2551|11361283| 4803| 4.624| 32.18| 1.18| 4295| 0.318557| 0.218376|0|0|0|0|0|0|0|0|1|Simbad|296.72305|+49.10666
2552| 8757824| 6046| 4.465|  7.68| 0.06| 1182| 0.324329| 0.230457|0|0|0|0|0|0|0|0|1|Simbad|293.50049|+44.93246
2553| 9832208| 4962| 5.066| 31.22| 0.31| 5569| 0.691075| 0.425512|0|0|0|0|0|0|0|0|0|Simbad|292.30743|+46.62664
2554|10471621| 4337| 4.681| 31.18| 1.49| 4156| 0.638573| 0.446421|0|0|0|0|0|0|0|0|0|Simbad|292.37979|+47.64461
2555| 5350244| 6233| 4.369|  8.80| 0.11| 1021| 0.333725| 0.270145|0|0|0|0|0|0|0|0|0|Simbad|287.85699|+40.54718
2556| 5374403| 5492| 4.564| 31.93| 1.47| 1041| 0.160999| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.10242|+40.57239
2559| 6605493| 5849| 4.490| 80.99|21.91|  981| 0.467875| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|291.60675|+42.03592
2560| 4670217| 4736| 4.466| 54.62|19.74| 2529| 0.177825| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.70517|+39.75684
2561| 7259298| 5824| 4.584| 85.02|22.79|  887| 0.413075| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|282.95694|+42.82562
2563| 5175024| 6139| 4.357| 12.13| 1.12|  846| 0.192413| 0.142405|0|0|0|0|0|0|0|0|1|Simbad|288.09564|+40.36597
2564| 9026749| 6010| 4.475| 30.13| 1.45|  720| 0.092569| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|293.57394|+45.38454
2569| 8247770| 5480| 4.361| 55.47| 6.60| 1846| 0.373238| 0.128185|0|0|0|0|0|0|0|0|1|Simbad|296.60300|+44.14082
2571| 6867588| 5044| 4.636| 33.67| 0.87| 1757| 0.581280| 0.349332|0|0|0|0|0|0|0|0|0|Simbad|293.13705|+42.35048
2572| 7501646| 5462| 4.766|  1.87| 0.04| 2451| 0.193533| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|281.59235|+43.17788
2573| 8256453| 5102| 4.522|  2.69| 0.02| 3974| 0.672425| 0.373356|0|0|0|0|0|0|0|0|0|Simbad|298.77756|+44.11994
2577|12257999| 6593| 4.381|      |     |     |         |         |0|0|0|0|1|0|0|0|0|Simbad|291.28772|+50.90915
2578| 6922203| 5705| 4.387| 20.72| 0.09| 6042| 1.005852| 0.554229|0|0|0|0|0|0|0|0|0|Simbad|281.26013|+42.40329
2579| 9896018| 5938| 4.396| 18.27| 0.13| 1674| 0.139679| 0.100137|0|0|0|0|0|0|0|0|1|Simbad|293.98871|+46.71802
2580|11037511| 5401| 4.670| 24.28| 1.30| 4259| 0.537770| 0.388769|0|0|0|0|0|0|0|0|0|Simbad|295.35446|+48.51540
2581|11818872| 5415| 4.629| 29.95| 1.00| 2600| 0.782915| 0.442236|0|0|0|0|0|0|0|0|0|Simbad|294.35092|+50.08109
2582|11771430| 5931| 4.415| 19.57| 3.35| 1006| 0.185805| 0.110179|0|0|0|0|0|0|0|0|1|Simbad|295.84653|+49.93613
2583|10387742| 5525| 4.493| 67.92|13.40|  428| 0.240809| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|283.42911|+47.59251
2585| 7673841| 6270| 4.196| 93.02|11.77|  572| 0.262258| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|288.66077|+43.36808
2587| 5546691| 5811| 4.724| 28.03| 1.19| 1423| 0.045366| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|295.46234|+40.77697
2588|12156347| 4101| 4.526| 29.26| 0.05|23174| 1.290509| 0.628449|0|0|0|0|0|0|0|0|0|Simbad|289.74277|+50.78704
2589|10468885| 5013| 4.619| 43.73| 3.13| 3449| 0.150450| 0.044687|0|0|0|0|0|0|0|0|1|Simbad|291.27899|+47.68765
2590|12016267| 6186| 4.073| 10.84| 0.09|  409| 0.606994| 0.411176|0|0|0|0|0|0|0|0|0|Simbad|293.50702|+50.45012
2592| 6765135| 5953| 4.520| 61.23|37.47| 1402| 0.129441| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|287.75229|+42.24478
2593| 8212002| 5962| 4.402|  8.62| 0.18|  540| 0.399418| 0.276130|0|1|0|0|0|0|0|0|0|Simbad|281.83533|+44.15592
2594| 8004903| 5755| 4.356|  0.10| 0.02|-9999| 0.296465| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|280.25839|+43.83576
2597|12120307| 6192| 4.441| 47.61| 3.10| 1463| 0.093555| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|296.30197|+50.67232
2598| 7446631| 5843| 4.454| 32.82| 0.96|  943| 0.050387| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|292.32419|+43.03345
2601| 7531677| 6039| 4.276| 52.41| 6.32|  886| 0.072480| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|292.99469|+43.18067
2602|10068659| 5776| 4.539| 80.16| 8.16| 1381| 0.273990| 0.000000|0|0|0|0|0|0|0|1|0|Simbad|289.13467|+47.06299
2603| 2443393| 5994| 4.390| 74.36| 2.69|  674| 0.281560| 0.000000|0|1|0|0|0|0|0|1|0|Simbad|291.45755|+37.74293
2604| 9019191| 4739| 4.865|  1.51| 0.01| 1848| 0.072445| 0.002725|0|0|0|0|0|0|0|0|1|Simbad|290.82437|+45.35502
2607| 5095635| 5681| 4.786| 15.95| 0.23| 5048| 0.620958| 0.439474|0|0|0|0|0|0|0|0|0|Simbad|290.68469|+40.25545
