#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-03-17T07:16:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6232e02624ff1c	
#INFO	-out.max=999999	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=999999
#-out.all=2
#-nav=cat:J/ApJ/743/48&tab:{J/ApJ/743/48/catalog}&key:source=J/ApJ/743/48/catalog&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/743/48/catalog
#-order=I
#-out=Name
#-out=HD
#-out=HIP
#-out=GJ
#-out=GCVS
#-out=2MASS
#-out=RAJ2000
#-out=DEJ2000
#-out=Cluster
#-out=Dist
#-out.all=2
#-out=Vmag
#-out=V-K
#-out=SpT
#-out=r_SpT
#-out=logLx
#-out=r_logLx
#-out=Prot
#-out=r_Prot
#-out=M*
#-out=R*
#-out=L*
#-out=Teff
#-out=dcz
#-out=Lx/bol
#-out.all=2
#
#
#RESOURCE=yCat_17430048
#Name: J/ApJ/743/48
#Title: Stars with rotation periods and X-ray luminosities (Wright+, 2011)
#Table	J_ApJ_743_48_catalog:
#Name: J/ApJ/743/48/catalog
#Title: Activity-rotation properties for 824 stars -- updated version by the author
#Column	Name	(a23)	Default source name (1)	[ucd=meta.id;meta.main]
#Column	HD	(I6)	? Henry Draper catalog number (Cat. III/135) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HIP	(I6)	? Hipparcos catalog number (Cat. I/239) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	GJ	(a7)	Catalog of nearby stars source name (Cat. V/70)	[ucd=meta.id]
#Column	GCVS	(A9)	? General Catalog of Variable Stars source name (Cat. B/gcvs)	[ucd=meta.id]
#Column	2MASS	(A16)	2MASS source name (HHMMSSss+DDMMSSs; J2000 - Cat. II/246)	[ucd=meta.id]
#Column	RAJ2000	(A11)	? Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Cluster	(A8)	? Name of open cluster that star is part of (or 'Field')	[ucd=meta.id]
#Column	Dist	(F5.1)	? Distance to star (2)	[ucd=pos.distance;pos.heliocentric]
#Column	Vmag	(F5.2)	? Observed V magnitude of star	[ucd=phot.mag;em.opt.V]
#Column	V-K	(F5.2)	Dereddened V-K colour of star (3)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	SpT	(a5)	? Spectral type of star	[ucd=src.spType]
#Column	r_SpT	(A3)	? Reference for spectral type, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	logLx	(F5.2)	Logarithm of the intrinsic X-ray luminosity of the star	[ucd=phys.luminosity;em.X-ray]
#Column	r_logLx	(A3)	Reference for X-ray luminosity in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	Prot	(F5.2)	Rotation period of the star	[ucd=time.period]
#Column	r_Prot	(A4)	Reference for rotation period, in refs.dat file	[ucd=meta.ref;pos.frame]
#Column	M*	(F5.2)	Mass of the star (4)	[ucd=phys.mass]
#Column	R*	(F5.2)	Radius of the star (4)	[ucd=phys.size.radius]
#Column	L*	(F5.2)	Bolometric luminosity of the star (4)	[ucd=phys.luminosity]
#Column	Teff	(I4)	Effective temperature of the star (4)	[ucd=phys.temperature.effective]
#Column	dcz	(F5.2)	Height of the radiative-convective boundary (as a function of the stellar radius) (4)	[ucd=pos.cartesian.z]
#Column	Lx/bol	(F5.2)	Logarithm of the X-ray to bolometric luminosity	[ucd=phys.luminosity;arith.ratio]
Name|HD|HIP|GJ|GCVS|2MASS|RAJ2000|DEJ2000|Cluster|Dist|Vmag|V-K|SpT|r_SpT|logLx|r_logLx|Prot|r_Prot|M*|R*|L*|Teff|dcz|Lx/bol
HII1286                |      |      |       |QQ Tau   |                |03 47 03.77|+23 36 58.8|Pleiades|133.0|15.35| 4.64|     |   |29.38|M90| 2.45|H10 | 0.58| 0.49| 0.07|3967| 0.62|-3.06
HII1298                |      |      |       |         |                |03 47 06.78|+23 42 54.6|Pleiades|133.0|12.33| 2.37|     |   |29.56|S94| 7.63|H10 | 0.83| 0.73| 0.28|4751| 0.69|-3.48
HII1305                |      |      |       |V0644 Tau|                |03 47 07.35|+23 13 34.8|Pleiades|133.0|13.52| 3.01|     |   |29.41|M99| 0.39|H10 | 0.70| 0.60| 0.13|4244| 0.66|-3.29
HII1306                |      |      |       |FL Tau   |                |03 47 08.54|+23 42 38.9|Pleiades|133.0|13.51| 3.49|     |   |29.34|M90| 2.65|H10 | 0.74| 0.65| 0.17|4417| 0.66|-3.49
HII1321                |      |      |       |V0536 Tau|                |03 47 09.44|+23 44 31.9|Pleiades|133.0|15.22| 4.45|     |   |29.21|S94| 1.21|H10 | 0.58| 0.49| 0.07|3965| 0.62|-3.23
HII1332                |      |      |       |V0815 Tau|                |03 47 13.53|+23 42 51.5|Pleiades|133.0|12.53| 2.40|     |   |29.62|S94| 8.18|H10 | 0.80| 0.71| 0.24|4651| 0.69|-3.34
HII1348                |      |      |       |         |                |03 47 18.06|+24 23 26.8|Pleiades|133.0|12.70| 2.83|K5   |H62|29.14|S94| 4.56|H10 | 0.79| 0.69| 0.22|4580| 0.69|-3.78
HII1355                |      |      |       |V0646 Tau|                |03 47 18.13|+24 02 11.5|Pleiades|133.0|14.02| 3.71|     |   |29.64|S94| 2.09|H10 | 0.69| 0.59| 0.13|4227| 0.66|-3.04
HIP 17695              |      |      |       |         |03472333-0158195|03 47 23.35|-01 58 19.9|Field   | 16.0|11.59| 4.66|     |   |28.94|V99| 3.88|K07 | 0.43| 0.37| 0.03|3714| 0.09|-3.14
HCG273                 |      |      |       |QT Tau   |                |03 47 30.59|+24 22 14.0|Pleiades|133.0|15.87| 4.38|     |   |29.31|S94| 2.78|H10 | 0.46| 0.40| 0.04|3773| 0.57|-2.85
HCG277                 |      |      |       |QV Tau   |                |03 47 33.46|+23 41 33.0|Pleiades|133.0|15.74| 4.69|     |   |29.37|M99| 0.60|H10 | 0.52| 0.44| 0.05|3866| 0.57|-2.93
HII1454                |      |      |       |V0703 Tau|                |03 47 33.68|+24 41 03.2|Pleiades|133.0|12.86| 2.62|     |   |29.21|S94| 8.41|H10 | 0.76| 0.66| 0.19|4463| 0.69|-3.65
HII1512                |      |      |       |V1172 Tau|                |03 47 38.01|+23 28 05.0|Pleiades|133.0|13.51| 3.07|     |   |28.98|M99| 8.37|H10 | 0.70| 0.61| 0.14|4268| 0.66|-3.74
HII1516                |      |      |       |V0793 Tau|                |03 47 40.37|+24 18 07.0|Pleiades|133.0|13.97| 3.51|     |   |29.94|S94| 0.31|H10 | 0.67| 0.58| 0.12|4180| 0.66|-2.71
HII1514                |282967|      |       |         |                |03 47 40.45|+24 21 52.5|Pleiades|133.0|10.51| 1.64|G5   |W63|29.32|S94| 3.25|H10 | 1.10| 1.01| 1.07|5687| 0.94|-4.30
HII1532                |      |      |       |V0541 Tau|                |03 47 41.18|+23 44 25.1|Pleiades|133.0|13.98| 3.29|     |   |29.48|S94| 0.78|H10 | 0.64| 0.55| 0.10|4105| 0.62|-3.10
HII1531                |      |      |       |QX Tau   |                |03 47 41.44|+23 58 19.0|Pleiades|133.0|13.58| 3.15|     |   |29.61|S94| 0.48|H10 | 0.70| 0.61| 0.13|4260| 0.66|-3.10
HCG295                 |      |      |       |V0654 Tau|                |03 47 50.95|+24 30 18.8|Pleiades|133.0|16.13| 4.55|     |   |28.74|M96| 1.41|H10 | 0.44| 0.38| 0.03|3738| 0.45|-3.36
HII1653                |      |      |       |V0338 Tau|                |03 47 59.73|+24 43 52.8|Pleiades|133.0|13.51| 3.41|K7   |H62|29.64|S94| 0.74|H10 | 0.72| 0.62| 0.15|4312| 0.66|-3.11
HII1756                |      |      |       |         |                |03 48 10.99|+23 30 25.3|Pleiades|133.0|14.10| 3.30|     |   |28.92|M99| 1.15|H10 | 0.62| 0.53| 0.09|4056| 0.62|-3.62
HII1794                |282972|      |       |         |                |03 48 17.12|+23 53 25.4|Pleiades|133.0|10.40| 1.34|F9   |B46|29.05|M99| 3.85|H10 | 1.11| 1.02| 1.12|5717| 0.94|-4.59
HII1785                |      |      |       |V0343 Tau|                |03 48 17.29|+24 30 15.9|Pleiades|133.0|14.29| 3.48|     |   |29.10|S94| 5.60|H10 | 0.61| 0.52| 0.08|4031| 0.62|-3.41
HII1827                |      |      |       |V0346 Tau|                |03 48 22.77|+23 58 21.2|Pleiades|133.0|14.84| 4.21|     |   |29.33|S94| 2.47|H10 | 0.62| 0.52| 0.09|4040| 0.62|-3.19
HII1883                |      |      |       |V0660 Tau|                |03 48 28.03|+23 18 02.8|Pleiades|133.0|12.66| 2.71|     |   |29.75|M96| 0.23|H10 | 0.80| 0.71| 0.23|4636| 0.69|-3.20
HII1924                |      |      |       |         |                |03 48 34.51|+23 26 05.3|Pleiades|133.0|10.34| 1.34|F9   |K67|29.48|M99| 2.89|H10 | 1.12| 1.04| 1.19|5751| 0.94|-4.18
                       |      |      |       |         |                |03 48 47.71|+35 04 58.3|Field   | 42.0|14.19| 4.08|     |   |28.75|V99| 3.42|H11 | 0.29| 0.27| 0.01|3505| 0.00|-2.93
HII2027                |      |      |       |         |                |03 48 48.95|+24 16 02.8|Pleiades|133.0|10.93| 1.95|K0   |W63|29.47|S94| 5.07|H10 | 1.03| 0.93| 0.79|5463| 0.72|-4.01
HII2034                |      |      |       |V0545 Tau|                |03 48 49.32|+23 58 38.4|Pleiades|133.0|12.65| 2.54|     |   |29.72|S94| 0.55|H10 | 0.79| 0.70| 0.22|4600| 0.69|-3.21
HII2147                |      |      |       |V1282 Tau|                |03 49 06.11|+23 46 52.6|Pleiades|133.0|10.87| 1.95|K0   |B84|30.65|S94| 0.78|H10 | 1.04| 0.94| 0.83|5500| 0.72|-2.85
HII2193                |      |      |       |V0357 Tau|                |03 49 11.28|+23 33 18.9|Pleiades|133.0|14.23| 3.54|     |   |29.28|M99| 1.42|H10 | 0.63| 0.53| 0.09|4069| 0.62|-3.27
HII2172                |282965|      |       |         |                |03 49 11.73|+24 38 11.8|Pleiades|133.0|10.44| 1.34|F9   |K67|29.35|S94| 4.67|H10 | 1.11| 1.01| 1.08|5696| 0.94|-4.27
HII2208                |      |      |       |V0358 Tau|                |03 49 15.38|+24 34 02.2|Pleiades|133.0|14.42| 3.81|     |   |29.47|S94| 0.40|H10 | 0.63| 0.54| 0.09|4073| 0.62|-3.08
HII2244                |      |      |       |V0664 Tau|                |03 49 20.59|+24 46 36.0|Pleiades|133.0|12.60| 2.56|     |   |30.04|S94| 0.56|H10 | 0.80| 0.71| 0.23|4639| 0.69|-2.91
HII2284                |      |      |       |V1089 Tau|                |03 49 24.05|+23 50 21.4|Pleiades|133.0|11.35| 1.54|G2   |B46|29.20|M99| 5.82|H10 | 0.93| 0.83| 0.49|5126| 0.70|-4.07
HCG370                 |      |      |       |V0359 Tau|                |03 49 27.64|+24 31 54.2|Pleiades|133.0|15.97| 4.59|     |   |28.87|S94| 0.54|H10 | 0.47| 0.40| 0.04|3788| 0.57|-3.31
HII2311                |      |      |       |         |                |03 49 28.74|+23 42 44.1|Pleiades|133.0|11.35| 1.54|G2   |B46|28.86|M99| 2.93|H10 | 0.93| 0.83| 0.49|5126| 0.70|-4.41
HCG372                 |      |      |       |V0361 Tau|                |03 49 33.03|+24 32 02.6|Pleiades|133.0|16.58| 4.72|     |   |29.10|S94| 1.59|H10 | 0.39| 0.35| 0.02|3665| 0.45|-2.87
HII2341                |      |      |       |V1090 Tau|                |03 49 33.12|+23 47 43.5|Pleiades|133.0|10.93| 1.62|G4   |B84|29.13|M99| 4.88|H10 | 1.02| 0.91| 0.72|5411| 0.72|-4.32
HII2366                |      |      |       |         |                |03 49 36.54|+24 17 46.1|Pleiades|133.0|11.49| 1.54|G2   |B46|28.90|S94| 6.22|H10 | 0.91| 0.81| 0.43|5046| 0.70|-4.32
HII2407                |      |      |       |V1283 Tau|                |03 49 42.27|+24 27 47.0|Pleiades|133.0|12.19| 2.41|K3   |H62|29.21|S94| 7.29|H10 | 0.83| 0.74| 0.29|4764| 0.69|-3.84
SK293                  |      |      |       |         |                |03 49 58.34|+23 42 34.0|Pleiades|133.0|15.92| 4.24|     |   |29.29|M99| 1.34|H10 | 0.44| 0.38| 0.03|3734| 0.45|-2.81
HII2548                |      |      |       |V1173 Tau|                |03 50 05.06|+24 07 26.3|Pleiades|133.0|14.03| 3.33|     |   |29.03|S94| 6.44|H10 | 0.64| 0.54| 0.10|4093| 0.62|-3.54
HII2588                |      |      |       |V0370 Tau|                |03 50 12.40|+24 31 58.6|Pleiades|133.0|13.29| 2.90|     |   |29.25|S94| 5.97|H10 | 0.72| 0.62| 0.15|4323| 0.66|-3.51
HII2644                |      |      |       |         |                |03 50 20.90|+24 28 00.3|Pleiades|133.0|11.09| 1.54|G2   |B46|29.09|S94| 5.07|H10 | 0.98| 0.88| 0.62|5304| 0.72|-4.29
HII2741                |      |      |       |V1174 Tau|                |03 50 34.57|+24 30 28.2|Pleiades|133.0|12.65| 2.45|     |   |29.43|S94| 5.16|H10 | 0.79| 0.69| 0.22|4582| 0.69|-3.49
HII2786                |283067|      |       |V1175 Tau|                |03 50 40.08|+23 55 59.0|Pleiades|133.0|10.29| 1.34|F9   |B46|29.43|S94| 2.17|H10 | 1.13| 1.05| 1.24|5780| 0.94|-4.25
HII2881                |      |      |       |V1176 Tau|                |03 50 54.32|+23 50 05.6|Pleiades|133.0|11.57| 2.15|K2   |W63|29.95|S94| 5.16|H10 | 0.93| 0.82| 0.47|5099| 0.70|-3.30
HII2880                |      |      |       |         |                |03 50 55.09|+24 11 50.9|Pleiades|133.0|11.75| 2.00|     |   |29.03|S94| 6.28|H10 | 0.91| 0.80| 0.42|5035| 0.70|-4.18
HII2927                |      |      |       |V0378 Tau|                |03 51 05.58|+24 44 12.4|Pleiades|133.0|13.92| 3.36|     |   |29.39|S94| 0.26|H10 | 0.66| 0.57| 0.11|4153| 0.66|-3.23
HCG424                 |      |      |       |V0466 Tau|                |03 51 19.07|+24 10 13.3|Pleiades|133.0|16.11| 4.59|     |   |29.27|S94| 1.87|H10 | 0.45| 0.39| 0.03|3751| 0.45|-2.85
HII3019                |      |      |       |V0381 Tau|                |03 51 24.40|+24 05 14.7|Pleiades|133.0|13.53| 3.13|     |   |29.33|S94| 5.47|H10 | 0.71| 0.61| 0.14|4279| 0.66|-3.39
HCG428                 |      |      |       |V0558 Tau|                |03 51 25.87|+24 47 38.9|Pleiades|133.0|15.83| 4.52|     |   |29.48|S94| 0.31|H10 | 0.49| 0.41| 0.04|3814| 0.57|-2.73
HII3063                |      |      |       |V0677 Tau|                |03 51 29.94|+23 53 57.2|Pleiades|133.0|13.53| 3.05|     |   |29.66|S94| 0.88|H10 | 0.70| 0.60| 0.13|4254| 0.66|-3.04
HII3096                |      |      |       |V1054 Tau|                |03 51 39.28|+24 32 56.2|Pleiades|133.0|12.09| 2.17|     |   |29.79|S94| 4.21|H10 | 0.86| 0.76| 0.33|4849| 0.70|-3.31
HII3163                |      |      |       |V0816 Tau|                |03 51 53.39|+24 23 13.3|Pleiades|133.0|12.77| 2.77|     |   |29.83|S94| 0.42|H10 | 0.79| 0.69| 0.22|4589| 0.69|-3.10
HII3179                |      |      |       |         |                |03 51 56.85|+23 54 07.1|Pleiades|133.0|10.05| 1.42|G0   |K67|29.32|S94| 4.86|H10 | 1.19| 1.12| 1.57|5950| 0.81|-4.46
HII3197                |      |      |       |V0679 Tau|                |03 52 02.24|+24 39 47.9|Pleiades|133.0|12.10| 2.91|     |   |30.19|S94| 0.43|H10 | 0.92| 0.82| 0.45|5074| 0.70|-3.04
                       |      |      |       |         |                |03 54 11.34|+42 47 39.1|Field   | 68.0|14.49| 3.88|     |   |29.14|V99| 0.74|H11 | 0.37| 0.33| 0.02|3629| 0.09|-2.78
                       |      |      |       |         |                |03 56 33.08|+31 57 24.8|Field   | 11.0|14.12| 5.18|     |   |28.10|V99| 5.85|H11 | 0.13| 0.14| 0.00|3040| 0.00|-2.81
                       |      |      |       |         |                |03 57 33.94|+24 45 10.6|Field   | 28.0|12.64| 3.91|     |   |28.28|V99| 0.86|H11 | 0.36| 0.32| 0.02|3609| 0.09|-3.60
2MASS J04000940+0818155|      |      |       |         |04000940+0818155|04 00 09.32|+08 18 13.7|Field   | 77.0| 9.80| 1.84|     |   |30.28|V99| 0.80|X07 | 1.00| 0.92| 0.72|5398| 0.72|-3.16
HD 285281              |285281|      |       |V1293 Tau|04003106+1935207|04 00 31.05|+19 35 20.9|Field   | 45.0|10.44| 2.83|     |   |29.74|V99| 1.17|N07 | 0.76| 0.68| 0.20|4479| 0.68|-3.34
                       |      |      |       |         |                |04 01 24.72|+39 52 55.0|Field   | 38.0|11.98| 3.56|     |   |28.22|V99|16.14|H11 | 0.54| 0.45| 0.06|3863| 0.54|-4.11
                       |      |      |       |         |                |04 02 24.10|+36 09 00.4|Field   | 26.0|14.23| 4.48|     |   |28.05|V99|10.86|H11 | 0.21| 0.21| 0.01|3306| 0.00|-3.34
HD 25457               | 25457|      |       |         |04023675-0016078|04 02 36.74|-00 16 08.1|Field   | 19.0| 5.38| 1.08|F5   |C18|29.74|V99| 3.13|FEPS| 1.26| 1.26| 2.33|6170| 0.88|-4.17
                       |      |      |       |         |                |04 03 01.00|+34 58 03.1|Field   | 33.0|14.46| 4.38|     |   |28.12|V99| 1.06|H11 | 0.22| 0.22| 0.01|3352| 0.00|-3.34
HD 285372              |285372|      |       |         |                |04 03 24.95|+17 24 26.0|Field   | 79.0|11.60| 2.80|     |   |30.63|V99| 0.29|X06 | 0.77| 0.68| 0.20|4504| 0.68|-3.58
HD 285372              |      |      |       |V1194 Tau|04032494+1724261|04 03 24.95|+17 24 26.0|Field   |108.0|11.73| 2.93|     |   |29.60|V99| 0.57|B97 | 0.93| 0.96| 0.37|4414| 0.58|-3.56
                       |      |      |       |         |                |04 07 30.96|+34 05 27.8|Field   | 26.0|14.56| 4.61|     |   |28.16|V99|12.54|H11 | 0.18| 0.19| 0.01|3246| 0.00|-3.12
V1196 Tau              |      |      |       |V1196 Tau|04081300+1956393|04 08 13.01|+19 56 39.4|Field   | 58.0|13.08| 3.76|     |   |29.14|V99| 3.02|B97 | 0.43| 0.49| 0.05|3709| 0.31|-3.16
                       |      |      |       |         |                |04 08 14.11|+40 07 32.1|Field   | 22.0|14.05| 4.58|     |   |28.47|V99| 0.85|H11 | 0.19| 0.20| 0.01|3262| 0.00|-2.84
BD23:622               |      |      |       |         |                |04 08 36.20|+23 46 07.1|Hyades  | 46.0| 9.44| 2.12|     |   |28.63|V99| 9.35|D11 | 0.89| 0.80| 0.40|4989| 0.70|-4.56
HD 281691              |281691|      |       |V1197 Tau|04090973+2901306|04 09 09.84|+29 01 29.8|Field   | 75.0|10.79| 2.39|     |   |29.88|V99| 2.65|N07 | 0.85| 0.76| 0.33|4830| 0.70|-3.28
V1306_Tau              |      |      |       |V1306 Tau|                |04 09 51.13|+24 46 21.1|Field   | 26.0|13.42| 4.17|     |   |28.21|V99| 5.56|H11 | 0.26| 0.25| 0.01|3455| 0.00|-3.39
V1198 Tau              |      |      |       |         |                |04 12 51.22|+24 39 34.7|Field   |209.0|11.98| 1.86|G9   |B97|30.22|V99| 6.70|B97 | 1.01| 0.93| 0.73|5368| 1.00|-3.23
                       |      |      |       |         |                |04 13 31.33|+25 10 37.4|Field   | 42.0|14.61| 4.21|     |   |28.65|V99| 2.22|H11 | 0.25| 0.24| 0.01|3435| 0.00|-2.91
VB 18                  | 26767|      |       |V1309 Tau|04142723+1226070|04 14 27.26|+12 26 07.2|Hyades  | 46.0| 8.03| 1.46|G1   |W63|29.28|V99| 8.69|P04 | 1.12| 1.05| 1.24|5758| 0.76|-4.40
VB 15                  | 26736|      |       |V1310 Tau|04143228+2334298|04 14 32.32|+23 34 29.8|Hyades  | 46.0| 8.05| 1.59|G3   |M65|29.14|V99| 8.48|P04 | 1.13| 1.06| 1.26|5764| 0.76|-4.54
                       |      |      |       |         |                |04 14 46.05|+38 16 03.9|Field   | 15.0|15.13| 5.35|     |   |27.37|V99| 1.85|H11 | 0.12| 0.14| 0.00|2986| 0.00|-3.48
                       |      |      |       |         |                |04 14 53.49|+27 45 28.4|Field   |  9.3|12.62| 4.72|     |   |27.30|V99|17.57|H11 | 0.17| 0.18| 0.00|3204| 0.00|-3.90
GJ 166C                |      |      |       |         |04152173-0739173|04 15 21.73|-07 39 17.4|Field   |  4.8|11.17| 5.21|     |   |28.02|P03| 2.11|P03 | 0.20| 0.21| 0.01|3301| 0.00|-3.36
HD 284266              |284266|      |       |V1199 Tau|04152292+2044169|04 15 22.93|+20 44 16.6|Field   | 85.0|10.84| 2.26|     |   |29.98|V99| 1.82|N07 | 0.88| 0.79| 0.39|4950| 0.70|-3.26
HD 26913               | 26913|      |       |V0891 Tau|04152578+0611588|04 15 25.79|+06 11 58.7|Field   | 21.0| 6.94| 1.77|G8   |B95|28.76|V99| 7.15|D96 | 1.00| 0.92| 0.72|5397| 0.72|-4.63
                       |      |      |       |         |                |04 16 02.36|+33 25 30.2|Field   | 19.0|13.37| 4.44|     |   |28.18|V99| 4.77|H11 | 0.21| 0.22| 0.01|3324| 0.00|-3.24
HD 26990               | 26990|      |       |         |04161649+0709341|04 16 16.49|+07 09 34.1|Field   | 35.0| 7.50| 1.42|G0   |C18|28.31|V99|12.80|FEPS| 1.10| 1.03| 1.13|5697| 0.76|-5.29
VB 21                  |284253|      |       |V0984 Tau|04163346+2154269|04 16 33.48|+21 54 26.9|Hyades  | 46.0| 9.14| 1.95|K0   |M65|28.55|V99|10.26|P03 | 0.93| 0.84| 0.50|5128| 0.70|-4.73
VA 106                 |      |      |       |         |04172811+1454038|04 17 28.01|+14 54 05.0|Hyades  | 46.0|14.46| 4.84|     |   |28.62|V99| 2.35|D11 | 0.37| 0.32| 0.02|3625| 0.41|-3.28
VB 25                  |285690|      |       |V0985 Tau|04181926+1605181|04 18 19.27|+16 05 18.0|Hyades  | 46.0| 9.61| 2.29|     |   |28.70|V99|12.64|P03 | 0.87| 0.78| 0.36|4909| 0.70|-4.45
VB 153                 |285663|      |       |         |04182197+1725178|04 18 21.99|+17 25 17.9|Hyades  | 46.0|10.03| 2.87|     |   |28.90|V99| 9.57|P04 | 0.85| 0.76| 0.32|4805| 0.68|-4.19
VB 26                  | 27250|      |       |V0893 Tau|04185795+1954241|04 18 57.98|+19 54 24.1|Hyades  | 46.0| 8.62| 1.86|G9   |M65|28.56|V99| 9.39|P03 | 1.03| 0.94| 0.79|5457| 0.72|-4.92
VB 31                  | 27406|      |       |V0986 Tau|04201294+1914005|04 20 12.97|+19 14 00.5|Hyades  | 46.0| 7.47| 1.34|F9   |G01|29.25|V99| 5.44|P03 | 1.23| 1.21| 2.04|6095| 0.82|-4.65
VA 190                 |285692|      |       |         |04201622+1541573|04 20 16.23|+15 41 57.3|Hyades  | 46.0|10.71| 1.64|G5   |S51|29.54|P03| 3.66|P03 | 0.66| 0.57| 0.11|4125| 0.65|-3.08
V652 Per               |      |      |       |         |                |04 20 24.12|+32 23 23.7|Field   |141.0|12.33| 2.73|K4   |B97|29.68|V99| 4.20|B97 | 0.84| 0.83| 0.32|4553| 0.62|-3.41
VB 43                  |284414|      |       |V0988 Tau|04232283+1939312|04 23 22.85|+19 39 31.2|Hyades  | 46.0| 9.40| 2.25|     |   |28.58|V99| 9.90|P03 | 0.91| 0.81| 0.44|5045| 0.70|-4.65
VB 173                 |285749|      |       |V0989 Tau|04232526+1545474|04 23 25.28|+15 45 47.2|Hyades  | 46.0|10.52| 3.03|     |   |28.31|V99|12.38|D11 | 0.79| 0.70| 0.22|4579| 0.68|-4.63
HD 285751              |285751|      |       |V1200 Tau|04234133+1537549|04 23 41.33|+15 37 54.9|Field   |131.0|11.26| 2.45|     |   |30.33|V99| 1.60|B97 | 1.06| 1.12| 0.68|4776| 0.64|-3.09
GH7-192                |      |      |       |         |04235070+0912193|04 23 50.90|+09 12 17.6|Hyades  | 46.0|12.88| 4.65|     |   |29.39|V99| 5.33|D11 | 0.60| 0.51| 0.08|3971| 0.61|-3.08
VB 50                  | 27836|      |       |V0895 Tau|04241244+1445295|04 24 12.46|+14 45 29.5|Hyades  | 46.0| 7.62| 1.42|G0   |G01|29.91|V99| 7.10|P03 | 1.21| 1.17| 1.79|6015| 0.82|-3.93
VB 174                 |285720|      |       |V0990 Tau|04241691+1800107|04 24 16.94|+18 00 10.5|Hyades  | 46.0| 9.98| 2.46|     |   |28.57|P03|11.88|P03 | 0.82| 0.74| 0.28|4712| 0.68|-4.46
                       |      |      |       |         |                |04 24 21.51|+37 06 20.8|Field   | 13.0|14.57| 5.23|     |   |27.52|V99| 1.05|H11 | 0.12| 0.14| 0.00|3023| 0.00|-3.37
VB 52                  | 27859|      |       |V0897 Tau|04242831+1653103|04 24 28.32|+16 53 10.2|Hyades  | 46.0| 7.80| 1.42|G0   |G01|29.24|V99| 7.96|P03 | 1.17| 1.11| 1.52|5891| 0.82|-4.53
VB 175                 |285742|      |       |V0991 Tau|04250024+1659057|04 25 00.24|+16 59 05.6|Hyades  | 46.0|10.28| 2.45|     |   |28.25|P03|10.82|P03 | 0.78| 0.69| 0.21|4524| 0.68|-4.66
GH7-204                |      |      |       |         |04251456+1858250|04 25 14.50|+18 58 25.0|Hyades  | 46.0|12.82| 4.11|     |   |28.61|V99|10.84|D11 | 0.54| 0.46| 0.06|3869| 0.54|-3.72
VB 176                 |      |      |       |         |04254754+1801022|04 25 47.30|+18 01 03.7|Hyades  | 46.0| 9.01| 2.24|     |   |28.74|V99| 8.46|D11 | 0.98| 0.88| 0.62|5292| 0.72|-4.64
VB 59                  |      |      |       |V0992 Tau|04260584+1531275|04 26 05.86|+15 31 27.6|Hyades  | 46.0| 7.49| 1.29|F8   |M65|29.48|V99| 4.98|P03 | 1.23| 1.20| 1.99|6080| 0.82|-4.41
VB 63                  | 28068|      |       |V0906 Tau|04262460+1651118|04 26 24.61|+16 51 12.0|Hyades  | 46.0| 8.08| 1.64|G5   |M65|29.24|V99| 7.73|P03 | 1.12| 1.05| 1.22|5747| 0.76|-4.43
HD 279788              |279788|      |       |V0956 Per|04263740+3845023|04 26 37.40|+38 45 02.2|Field   | 76.0|11.04| 2.51|     |   |30.21|V99| 2.06|N07 | 0.83| 0.74| 0.28|4728| 0.68|-3.31
VB 64                  | 28099|      |       |V0911 Tau|04264010+1644488|04 26 40.12|+16 44 48.8|Hyades  | 46.0| 8.14| 1.54|G2   |K89|29.03|V99| 8.67|P03 | 1.11| 1.03| 1.15|5710| 0.76|-4.62
VA 404                 |286798|      |       |         |04264280+1241120|04 26 42.70|+12 41 11.8|Hyades  | 46.0|10.48| 3.45|     |   |28.83|V99|12.61|D11 | 0.84| 0.75| 0.30|4764| 0.68|-4.23
BD10:576               |286820|      |       |         |04264825+1052160|04 26 48.10|+10 52 15.2|Hyades  | 46.0| 9.45| 2.57|     |   |28.55|V99|10.40|D11 | 0.92| 0.82| 0.46|5078| 0.70|-4.70
VB 177                 |285828|      |       |         |04272532+1415384|04 27 25.20|+14 15 38.9|Hyades  | 46.0|10.39| 2.68|     |   |28.82|V99|12.78|D11 | 0.77| 0.68| 0.20|4487| 0.68|-4.07
VB 65                  | 28205|      |       |V0993 Tau|04273587+1535211|04 27 35.89|+15 35 21.1|Hyades  | 46.0| 7.42| 1.29|F8   |M65|29.08|V99| 5.87|P03 | 1.25| 1.22| 2.12|6124| 0.82|-4.83
