#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-03-17T09:13:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6232fbb135af7d	
#INFO	-out.max=1000	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/other/NatAs/4.03&tab:{J/other/NatAs/4.03/lit}&key:source=J/other/NatAs/4.03/lit&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/other/NatAs/4.03/lit
#-order=I
#-out=HD
#-out=m_HD
#-out=Name
#-out=Vmag
#-out=B-V
#-out=r_Vmag
#-out=d
#-out=r_d
#-out=Teff
#-out=r_Teff
#-out=logL
#-out=r_logL
#-out=logg
#-out=r_logg
#-out=[Fe/H]
#-out=r_[Fe/H]
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#
#RESOURCE=yCat_1061000401
#Name: J/other/NatAs/4.03
#Title: Rotation and activity across HR diagram (Lehtinen+, 2020)
#Table	J_other_NatAs_4_03_lit:
#Name: J/other/NatAs/4.03/lit
#Title: Literature values for stars
#Column	HD	(I6)	? HD number (blank for Sun) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	m_HD	(A1)	[AB] Multiplicity index on HD	[ucd=meta.code.multip]
#Column	Name	(a12)	Star name	[ucd=meta.id;meta.main]
#Column	Vmag	(F6.3)	? V-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	r_Vmag	(A19)	Bibcode for V and B-V reference	[ucd=meta.ref;pos.frame]
#Column	d	(F6.2)	Distance	[ucd=pos.distance;pos.heliocentric]
#Column	r_d	(A19)	Bibcode for d reference	[ucd=meta.ref;pos.frame]
#Column	Teff	(I4)	? Effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	r_Teff	(A19)	Bibcode for Teff reference (1)	[ucd=meta.ref;pos.frame]
#Column	logL	(F5.2)	? Logarithm of luminosity relative to the Sun	[ucd=phys.luminosity]
#Column	r_logL	(A19)	Bibcode for logL reference (2)	[ucd=meta.ref]
#Column	logg	(F6.3)	? Logarithm of surface gravity	[ucd=phys.gravity]
#Column	r_logg	(A19)	Bibcode for logg	[ucd=meta.ref;pos.frame]
#Column	[Fe/H]	(F5.2)	? Metallicity relative to the Sun	[ucd=phys.abund.Z]
#Column	r_[Fe/H]	(A19)	Bibcode for [Fe/H] reference	[ucd=meta.ref]
#Column	SimbadName	(A10)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
HD|m_HD|Name|Vmag|B-V|r_Vmag|d|r_d|Teff|r_Teff|logL|r_logL|logg|r_logg|[Fe/H]|r_[Fe/H]|SimbadName|_RA|_DE
182101| |HR 7354     | 6.340| 0.458|1997ESASP1200.....E| 36.30|2018A&A...616A...9L|6340|2018A&A...616A...8A| 0.50|2018A&A...616A...8A| 4.220|1990ApJ...354..310B|-0.23|2016ApJ...826..171G|HD 182101 |290.70146|+09.91315
182572| |b Aql       | 5.170| 0.761|1997ESASP1200.....E| 15.00|2018A&A...616A...9L|5580|2018A&A...616A...8A| 0.25|2018A&A...616A...8A| 4.240|2007ApJS..168..297T| 0.40|2016ApJ...826..171G|HD 182572 |291.24250|+11.94441
184398| |V1817 Cyg   | 6.370| 1.123|1997ESASP1200.....E|420.00|2018A&A...616A...9L|4600|2018A&A...616A...8A| 2.81|2018A&A...616A...8A|      |                   | 0.00|2018A&A...616A...8A|HD 184398 |292.80648|+55.73183
185144| |sigma Dra   | 4.670| 0.786|1997ESASP1200.....E|  5.77|2018A&A...616A...9L|5450|2018A&A...616A...8A|-0.35|2018A&A...616A...8A| 4.540|2007ApJS..168..297T|-0.20|2016ApJ...826..171G|HD 185144 |293.08996|+69.66118
185351| |HR 7468     | 5.170| 0.928|1997ESASP1200.....E| 41.30|2018A&A...616A...9L|5020|2018A&A...616A...8A| 1.19|2018A&A...616A...8A| 3.410|2015A&A...574A..50J| 0.07|2016ApJ...826..171G|HD 185351 |294.15823|+44.69493
186155| |HR 7495     | 5.060| 0.426|1997ESASP1200.....E| 50.70|2018A&A...616A...9L|6680|2018A&A...616A...8A| 1.30|2018A&A...616A...8A| 3.500|2014AJ....147..137L| 0.40|2016ApJ...826..171G|HD 186155 |295.20910|+45.52494
186791| |gamma Aql   | 2.720| 1.507|1997ESASP1200.....E|360.00|2018A&A...616A...9L|4730|2018A&A...616A...8A| 3.35|2012MNRAS.427..343M| 1.630|2008AJ....135..892C|-0.29|2008AJ....135..892C|HD 186791 |296.56492|+10.61326
187013| |17 Cyg      | 5.000| 0.476|1997ESASP1200.....E| 20.90|2018A&A...616A...9L|6320|2018A&A...616A...8A| 0.57|2018A&A...616A...8A| 3.970|2003AJ....126.2048G|-0.04|2016ApJ...826..171G|HD 187013 |296.60667|+33.72760
187691| |omicron Aql | 5.120| 0.563|1997ESASP1200.....E| 19.50|2018A&A...616A...9L|6150|2018A&A...616A...8A| 0.47|2018A&A...616A...8A| 4.250|2007ApJS..168..297T| 0.14|2016ApJ...826..171G|HD 187691 |297.75685|+10.41572
188512| |beta Aql    | 3.710| 0.855|1997ESASP1200.....E| 13.40|2018A&A...616A...9L|4990|2018A&A...616A...8A| 0.82|2018A&A...616A...8A| 3.650|2007ApJS..168..297T|-0.11|2016ApJ...826..171G|HD 188512 |298.82830|+06.40676
190007| |V1654 Aql   | 7.460| 1.128|1997ESASP1200.....E| 12.70|2018A&A...616A...9L|4650|2018A&A...616A...8A|-0.66|2018A&A...616A...8A| 4.620|2007ApJS..168..297T| 0.08|2016ApJ...826..171G|HD 190007 |300.69602|+03.32618
190360| |HR 7670     | 5.730| 0.749|1997ESASP1200.....E| 16.00|2018A&A...616A...9L|5570|2018A&A...616A...8A| 0.08|2018A&A...616A...8A| 4.310|2007ApJS..168..297T| 0.21|2016ApJ...826..171G|HD 190360 |300.90585|+29.89680
190406| |15 Sge      | 5.800| 0.600|1997ESASP1200.....E| 17.70|2018A&A...616A...9L|5960|2018A&A...616A...8A| 0.11|2018A&A...616A...8A| 4.430|2007ApJS..168..297T| 0.08|2016ApJ...826..171G|HD 190406 |301.02592|+17.07019
191026| |b1 Cyg      | 5.380| 0.850|1997ESASP1200.....E| 23.90|2018A&A...616A...9L|5140|2018A&A...616A...8A| 0.62|2018A&A...616A...8A| 3.490|2009A&A...508.1313F|-0.04|2016ApJ...826..171G|HD 191026 |301.59070|+35.97247
192806| |23 Vul      | 4.500| 1.258|1997ESASP1200.....E|100.00|2018A&A...616A...9L|4270|2018A&A...616A...8A| 2.46|2018A&A...616A...8A| 2.020|1990ApJS...74.1075M| 0.10|1990ApJS...74.1075M|HD 192806 |303.94227|+27.81419
192947| |alpha2 Cap  | 3.580| 0.883|1997ESASP1200.....E| 31.30|2018A&A...616A...9L|4740|2018A&A...616A...8A| 1.66|2018A&A...616A...8A| 2.800|2006AJ....132..161G|-0.01|2016ApJ...826..171G|HD 192947 |304.51357|-12.54485
194012| |HR 7793     | 6.160| 0.498|1997ESASP1200.....E| 26.00|2018A&A...616A...9L|6220|2018A&A...616A...8A| 0.29|2018A&A...616A...8A| 4.220|2003AJ....126.2048G|-0.12|2016ApJ...826..171G|HD 194012 |305.71821|+14.55110
196755| |kappa Del   | 5.070| 0.702|1997ESASP1200.....E| 30.30|2018A&A...616A...9L|5670|2018A&A...616A...8A| 0.89|2018A&A...616A...8A| 3.600|2009A&A...508.1313F| 0.12|2016ApJ...826..171G|HD 196755 |309.78244|+10.08619
197912| |52 Cyg      | 4.220| 1.051|1997ESASP1200.....E| 60.00|2018A&A...616A...9L|4700|2018A&A...616A...8A| 1.97|2018A&A...616A...8A| 2.640|1990ApJS...74.1075M|-0.09|2016ApJ...826..171G|HD 197912 |311.41564|+30.71972
198149| |eta Cep     | 3.410| 0.912|1997ESASP1200.....E| 14.40|2018A&A...616A...9L|4770|2018A&A...616A...8A| 1.04|2018A&A...616A...8A| 3.410|2009A&A...508.1313F|-0.15|2016ApJ...826..171G|HD 198149 |311.32240|+61.83878
198809| |31 Vul      | 4.560| 0.835|1997ESASP1200.....E| 70.00|2018A&A...616A...9L|5450|2018A&A...616A...8A| 1.86|2018A&A...616A...8A| 3.200|1990ApJS...74.1075M|-0.15|2016ApJ...826..171G|HD 198809 |313.03201|+27.09694
201091| |61 Cyg A    | 5.200| 1.069|1997ESASP1200.....E|  3.50|2018A&A...616A...9L|4330|2018A&A...616A...8A|-0.79|2018A&A...616A...8A| 4.700|2007ApJS..168..297T|-0.19|2016ApJ...826..171G|HD 201091 |316.72475|+38.74942
201092| |61 Cyg B    | 6.050| 1.309|1997ESASP1200.....E|  3.50|2018A&A...616A...9L|4180|2018A&A...616A...8A|-1.04|2018A&A...616A...8A| 4.710|2007ApJS..168..297T|-0.26|2016ApJ...826..171G|HD 201092 |316.73027|+38.74204
202109| |zeta Cyg    | 3.210| 0.990|1997ESASP1200.....E| 49.30|2018A&A...616A...9L|4710|2018A&A...616A...8A| 2.02|2012MNRAS.427..343M| 2.870|1990ApJS...74.1075M|-0.11|2008AJ....135..209M|HD 202109 |318.23411|+30.22692
203387| |iota Cap    | 4.280| 0.888|1997ESASP1200.....E| 61.80|2018A&A...616A...9L|5080|2018A&A...616A...8A| 1.90|2018A&A...616A...8A| 3.050|2015A&A...574A..50J|-0.03|2016ApJ...826..171G|HD 203387 |320.56165|-16.83454
203842| |HR 8191     | 6.330| 0.474|1997ESASP1200.....E|100.00|2018A&A...616A...9L|6330|2018A&A...616A...8A| 1.39|2018A&A...616A...8A|      |                   | 0.32|2016ApJ...826..171G|HD 203842 |321.10235|+10.17424
204724| |2 Peg       | 4.520| 1.618|1997ESASP1200.....E|120.00|2018A&A...616A...9L|3920|2018A&A...616A...8A| 2.81|2018A&A...616A...8A|      |                   |     |                   |HD 204724 |322.48706|+23.63884
204867| |beta Aqr    | 2.900| 0.828|1997ESASP1200.....E|140.00|2018A&A...616A...9L|4730|2018A&A...616A...8A| 3.23|2012MNRAS.427..343M| 1.540|2014AJ....147..137L| 0.06|2016ApJ...826..171G|HD 204867 |322.88972|-05.57118
205435| |rho Cyg     | 3.980| 0.885|1997ESASP1200.....E| 39.00|2018A&A...616A...9L|5040|2018A&A...616A...8A| 1.63|2018A&A...616A...8A| 3.290|2015A&A...574A..50J|-0.14|2016ApJ...826..171G|HD 205435 |323.49522|+45.59184
206778| |epsilon Peg | 2.380| 1.520|1997ESASP1200.....E|211.00|2007A&A...474..653V|4730|2018A&A...616A...8A| 3.95|2012MNRAS.427..343M| 1.250|2007A&A...475.1003H| 0.07|2016ApJ...826..171G|HD 206778 |326.04648|+09.87501
206860| |HN Peg      | 5.960| 0.587|1997ESASP1200.....E| 18.10|2018A&A...616A...9L|5960|2018A&A...616A...8A| 0.06|2018A&A...616A...8A| 4.480|2007ApJS..168..297T|-0.06|2016ApJ...826..171G|HD 206860 |326.13054|+14.77194
207978| |15 Peg      | 5.520| 0.426|1997ESASP1200.....E| 27.10|2018A&A...616A...9L|6380|2018A&A...616A...8A| 0.58|2018A&A...616A...8A| 4.080|2005PASJ...57...27T|-0.50|2016ApJ...826..171G|HD 207978 |328.12465|+28.79354
209166| |20 Peg      | 5.610| 0.336|1997ESASP1200.....E| 69.80|2018A&A...616A...9L|6890|2018A&A...616A...8A| 1.35|2018A&A...616A...8A| 3.300|1991A&A...251..171B|-0.25|2016ApJ...826..171G|HD 209166 |330.27230|+13.11984
209750| |alpha Aqr   | 2.950| 0.969|1997ESASP1200.....E| 77.50|2018A&A...616A...9L|4730|2018A&A...616A...8A| 3.28|2012MNRAS.427..343M| 1.660|2014AJ....147..137L| 0.15|2014AJ....147..137L|HD 209750 |331.44598|-00.31985
210434| |HR 8453     | 5.980| 0.981|1997ESASP1200.....E| 95.80|2018A&A...616A...9L|4970|2018A&A...616A...8A| 1.59|2018A&A...616A...8A| 2.900|2008AJ....135..209M| 0.09|1999A&A...348..487R|HD 210434 |332.64061|-04.26686
210460| |HR 8455     | 6.180| 0.688|1997ESASP1200.....E| 56.50|2018A&A...616A...9L|5520|2018A&A...616A...8A| 0.99|2018A&A...616A...8A| 3.790|2007ApJS..168..297T|-0.13|2016ApJ...826..171G|HD 210460 |332.57926|+19.61634
210807| |24 Cep      | 4.790| 0.919|1997ESASP1200.....E|120.00|2018A&A...616A...9L|5040|2018A&A...616A...8A| 2.27|2018A&A...616A...8A| 2.840|1990ApJS...74.1075M|-0.11|2016ApJ...826..171G|HD 210807 |332.45179|+72.34121
212754| |34 Peg      | 5.760| 0.519|1997ESASP1200.....E| 40.20|2018A&A...616A...9L|6200|2018A&A...616A...8A| 0.83|2018A&A...616A...8A| 3.940|2013ApJ...764...78R| 0.11|2016ApJ...826..171G|HD 212754 |336.65571|+04.39378
216380| |HR 8696     | 5.610| 0.775|1997ESASP1200.....E| 71.70|2018A&A...616A...9L|6700|2018A&A...616A...8A| 1.29|2018A&A...616A...8A|      |                   |     |                   |HD 216380 |342.84429|+61.69674
216385| |49 Peg      | 5.160| 0.487|1997ESASP1200.....E| 26.90|2018A&A...616A...9L|6240|2018A&A...616A...8A| 0.73|2018A&A...616A...8A| 3.970|2009A&A...508.1313F|-0.20|2016ApJ...826..171G|HD 216385 |343.10031|+09.83566
217014| |51 Peg      | 5.450| 0.666|1997ESASP1200.....E| 15.50|2018A&A...616A...9L|5830|2018A&A...616A...8A| 0.15|2018A&A...616A...8A| 4.360|2007ApJS..168..297T| 0.17|2016ApJ...826..171G|HD 217014 |344.36658|+20.76883
218658| |pi Cep      | 4.410| 0.802|1997ESASP1200.....E| 72.80|2018A&A...616A...9L|5250|2018A&A...616A...8A| 1.94|2018A&A...616A...8A| 2.850|1990ApJS...74.1075M| 0.01|1990ApJS...74.1075M|HD 218658 |346.97439|+75.38750
219291| |HR 8838     | 6.410| 0.448|1997ESASP1200.....E|105.00|2018A&A...616A...9L|6330|2018A&A...616A...8A| 1.40|2018A&A...616A...8A|      |                   |-0.21|2016ApJ...826..171G|HD 219291 |348.59049|+29.77183
219477| |61 Peg      | 6.510| 0.833|1997ESASP1200.....E|318.00|2018A&A...616A...9L|5250|2018A&A...616A...8A| 2.39|2018A&A...616A...8A|      |                   | 0.00|2018A&A...616A...8A|HD 219477 |348.94288|+28.24790
219834|A|94 Aqr A    | 5.200| 0.787|1997ESASP1200.....E| 22.30|2018A&A...616A...9L|5700|2018A&A...616A...8A| 0.61|2018A&A...616A...8A| 3.880|2006AJ....132..161G| 0.23|2016ApJ...826..171G|HD 219834A|349.77802|-13.45878
219834|B|94 Aqr B    | 5.190| 0.895|1997ESASP1200.....E| 22.30|2018A&A...616A...9L|5140|2018A&A...616A...8A|-0.33|2018A&A...616A...8A| 4.290|2007ApJS..168..297T| 0.15|2005ApJS..159..141V|HD 219834B|349.77734|-13.45525
221115| |70 Peg      | 4.540| 0.939|1997ESASP1200.....E| 65.40|2018A&A...616A...9L|4980|2018A&A...616A...8A| 1.87|2018A&A...616A...8A| 2.910|1990ApJS...74.1075M| 0.09|2016ApJ...826..171G|HD 221115 |352.28873|+12.76052
222107| |lambda And  | 3.810| 0.984|1997ESASP1200.....E| 24.20|2018A&A...616A...9L|4640|2018A&A...616A...8A| 1.42|2018A&A...616A...8A| 2.790|2003AJ....126.2048G|-0.45|2016ApJ...826..171G|HD 222107 |354.39101|+46.45815
224930| |85 Peg      | 5.800| 0.690|1997ESASP1200.....E| 12.60|2018A&A...616A...9L|5570|2018A&A...616A...8A|-0.12|2018A&A...616A...8A| 4.270|2003AJ....126.2048G|-0.73|2016ApJ...826..171G|HD 224930 |000.54309|+27.08180
      | |Sun         |      | 0.650|2000asqu.book.....C|  0.00|                   |5780|2000asqu.book.....C| 0.00|                   | 4.440|2005PASJ...57...27T| 0.00|                   |          |         |

